CDS,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
19648576105613,19,64857,6105613,2015-16,27,24,29,31,44,48,10,11,19,19,34,36
54721406054373,54,72140,6054373,2015-16,4,10,8,11,44,48,0,2,0,1,34,36
30665226028708,30,66522,6028708,2015-16,59,62,49,54,44,48,49,60,39,45,34,36
19642876096135,19,64287,6096135,2015-16,35,39,34,37,44,48,25,26,19,22,34,36
43694274330692,43,69427,4330692,2015-16,75,82,59,61,44,48,60,68,37,38,34,36
36750770110866,36,75077,0110866,2015-16,47,53,40,43,44,48,32,40,24,26,34,36
36678506059455,36,67850,6059455,2015-16,22,27,29,31,44,48,12,13,17,18,34,36
19644856013106,19,64485,6013106,2015-16,44,56,52,58,44,48,28,37,37,41,34,36
19648166020770,19,64816,6020770,2015-16,27,32,30,33,44,48,16,20,20,23,34,36
19647331937226,19,64733,1937226,2015-16,53,56,34,39,44,48,16,29,25,29,34,36
19647336017297,19,64733,6017297,2015-16,19,27,34,39,44,48,13,14,25,29,34,36
19757136011050,19,75713,6011050,2015-16,53,55,58,60,44,48,44,47,50,52,34,36
37680236037832,37,68023,6037832,2015-16,66,71,55,62,44,48,56,57,43,48,34,36
04615076003263,04,61507,6003263,2015-16,31,47,25,30,44,48,22,30,17,22,34,36
37681970132951,37,68197,0132951,2015-16,,40,,50,,48,,13,,39,,36
23752186111074,23,75218,6111074,2015-16,44,56,42,41,44,48,40,48,33,38,34,36
54720416054209,54,72041,6054209,2015-16,12,10,13,15,44,48,13,10,13,11,34,36
19647336018121,19,64733,6018121,2015-16,35,40,34,39,44,48,34,37,25,29,34,36
07618046108161,07,61804,6108161,2015-16,87,88,81,82,44,48,83,86,73,76,34,36
41688906043624,41,68890,6043624,2015-16,38,38,46,48,44,48,32,26,33,35,34,36
07617546114904,07,61754,6114904,2015-16,45,53,47,50,44,48,40,42,38,39,34,36
36677776109615,36,67777,6109615,2015-16,63,67,41,42,44,48,55,55,29,27,34,36
36676113630712,36,67611,3630712,2015-16,11,21,30,33,44,48,0,,24,22,34,36
44697990105858,44,69799,0105858,2015-16,59,57,30,32,44,48,9,10,21,21,34,36
19647336019418,19,64733,6019418,2015-16,17,19,34,39,44,48,14,14,25,29,34,36
48705816051411,48,70581,6051411,2015-16,25,28,26,29,44,48,22,26,18,21,34,36
19643031930775,19,64303,1930775,2015-16,45,51,46,47,44,48,23,25,28,29,34,36
04614246109722,04,61424,6109722,2015-16,41,50,48,51,44,48,38,43,40,44,34,36
30666706058986,30,66670,6058986,2015-16,12,19,27,31,44,48,9,10,22,25,34,36
19647336015861,19,64733,6015861,2015-16,15,23,34,39,44,48,20,14,25,29,34,36
27754402730190,27,75440,2730190,2015-16,51,39,28,32,44,48,16,16,19,20,34,36
19642876011456,19,64287,6011456,2015-16,21,27,34,37,44,48,17,23,19,22,34,36
01611920127944,01,61192,0127944,2015-16,45,36,33,36,44,48,31,5,22,23,34,36
52716216053623,52,71621,6053623,2015-16,47,56,33,40,44,48,45,48,30,31,34,36
37683386039739,37,68338,6039739,2015-16,71,77,49,54,44,48,76,74,39,42,34,36
19647336019921,19,64733,6019921,2015-16,34,30,34,39,44,48,22,29,25,29,34,36
37683383732997,37,68338,3732997,2015-16,41,38,49,54,44,48,19,11,39,42,34,36
42691956045488,42,69195,6045488,2015-16,64,71,54,58,44,48,56,65,45,54,34,36
34765056033542,34,76505,6033542,2015-16,23,30,28,31,44,48,22,27,23,25,34,36
33671570125245,33,67157,0125245,2015-16,31,38,31,36,44,48,8,17,20,23,34,36
31669516031363,31,66951,6031363,2015-16,33,31,48,53,44,48,26,25,36,37,34,36
39686766042550,39,68676,6042550,2015-16,15,18,24,25,44,48,12,13,18,21,34,36
27661596110753,27,66159,6110753,2015-16,32,34,33,39,44,48,16,14,16,21,34,36
10621170123869,10,62117,0123869,2015-16,44,55,60,66,44,48,47,53,50,54,34,36
19647336018014,19,64733,6018014,2015-16,22,29,34,39,44,48,16,22,25,29,34,36
37684116117154,37,68411,6117154,2015-16,9,15,47,53,44,48,9,4,29,31,34,36
37683040102178,37,68304,0102178,2015-16,17,11,49,53,44,48,7,,36,38,34,36
44754324430211,44,75432,4430211,2015-16,82,88,67,70,44,48,61,55,62,62,34,36
36676376067052,36,67637,6067052,2015-16,42,38,35,40,44,48,22,18,23,25,34,36
36750696037261,36,75069,6037261,2015-16,46,46,48,53,44,48,31,30,36,37,34,36
33671736108443,33,67173,6108443,2015-16,21,30,32,37,44,48,11,10,20,23,34,36
54720176054175,54,72017,6054175,2015-16,34,34,34,34,44,48,31,31,31,31,34,36
29663572930048,29,66357,2930048,2015-16,84,84,61,68,44,48,50,40,34,41,34,36
19648570116558,19,64857,0116558,2015-16,4,4,29,31,44,48,0,,19,19,34,36
19650606023162,19,65060,6023162,2015-16,64,65,63,66,44,48,55,51,55,58,34,36
36675956035216,36,67595,6035216,2015-16,54,49,58,62,44,48,44,37,46,48,34,36
15634046009344,15,63404,6009344,2015-16,29,30,28,34,44,48,15,19,19,21,34,36
37683386089049,37,68338,6089049,2015-16,64,73,49,54,44,48,65,77,39,42,34,36
57726786056295,57,72678,6056295,2015-16,68,68,69,71,44,48,69,60,65,65,34,36
39685853934767,39,68585,3934767,2015-16,9,11,38,41,44,48,0,,29,31,34,36
43694014330239,43,69401,4330239,2015-16,79,75,69,71,44,48,63,62,45,49,34,36
37681146096911,37,68114,6096911,2015-16,73,93,49,54,44,48,51,74,38,38,34,36
43696826049084,43,69682,6049084,2015-16,83,83,87,89,44,48,85,87,88,89,34,36
39686760114876,39,68676,0114876,2015-16,29,41,24,25,44,48,29,43,18,21,34,36
19651106023683,19,65110,6023683,2015-16,31,35,31,42,44,48,17,15,21,25,34,36
19651361932532,19,65136,1932532,2015-16,84,85,62,67,44,48,35,51,43,47,34,36
33751926107254,33,75192,6107254,2015-16,47,48,61,65,44,48,38,37,48,50,34,36
01612596001689,01,61259,6001689,2015-16,21,32,31,33,44,48,13,32,26,27,34,36
19753336020408,19,75333,6020408,2015-16,88,91,81,82,44,48,87,88,71,72,34,36
30664726027700,30,66472,6027700,2015-16,51,61,52,61,44,48,42,48,46,52,34,36
39685696111462,39,68569,6111462,2015-16,65,67,47,47,44,48,56,61,33,32,34,36
